Scheme Name,Net Asset Value,
,,
,,
,,
,,
,,
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,109.8366,
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,113.8529,
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,110.7582,
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,155.5187,
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,110.6503,
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,107.7473,
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,110.5099,
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,110.4877,
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,307.8263,
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,462.0869,
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,316.9972,
,,
,,
,,
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1038.9937,
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2277.8525,
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1038.2875,
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1039.8131,
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1038.9767,
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2223.3767,
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1038.1305,
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1039.7779,
,,
,,
,,
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.393,
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4744,
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4548,
BANDHAN Banking & PSU Debt Fund - Direct Growth,21.2402,
BANDHAN Banking & PSU Debt Fund - Direct IDCW,11.1733,
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4826,
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.7931,
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.3743,
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8762,
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6105,
BANDHAN Banking & PSU Debt Fund - Regular Growth,20.7812,
BANDHAN Banking & PSU Debt Fund - Regular IDCW,11.2218,
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.7264,
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.6993,
,,
,,
,,
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.1162,
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.7512,
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.1422,
